Time,ax_barato,ay_barato,az_barato,wx_barato,wy_barato,wz_barato,Lat_barato,Lon_barato,Alt_barato,vN_barato,vE_barato,vU_barato,d_izq_barato,d_der_barato,ax_caro,ay_caro,az_caro,wx_caro,wy_caro,wz_caro,Lat_caro,Lon_caro,Alt_caro,vN_caro,vE_caro,vU_caro,d_izq_caro,d_der_caro
0.0,0.0017,-0.0039,0.0015,-0.0025,-0.0026,0.0022,19.443801,-99.169997,2240.53,15.015,-0.001,0.122,499.32,500.06,0.00,0.00,0.00,0.00,0.00,0.00,19.443800,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
0.1,0.0022,-0.0130,0.0035,-0.0012,-0.0039,0.0017,19.443793,-99.169992,2240.13,15.014,-0.051,0.075,500.16,499.18,0.00,0.00,0.00,0.00,0.00,0.00,19.443786,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
0.2,-0.0011,0.0048,0.0018,0.0070,-0.0073,0.0014,19.443780,-99.170004,2240.45,15.037,0.112,0.007,500.43,499.94,0.00,0.00,0.00,0.00,0.00,0.00,19.443773,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
0.3,0.0046,-0.0024,-0.0015,-0.0035,-0.0011,-0.0059,19.443756,-99.170007,2240.26,15.007,-0.032,0.008,499.43,499.89,0.00,0.00,0.00,0.00,0.00,0.00,19.443759,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
0.4,-0.0021,0.0049,-0.0039,-0.0009,-0.0012,0.0010,19.443751,-99.170008,2240.56,14.982,-0.066,0.012,500.77,499.41,0.00,0.00,0.00,0.00,0.00,0.00,19.443746,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
0.5,0.0083,0.0009,-0.0062,0.0021,-0.0027,-0.0043,19.443735,-99.169997,2240.42,14.968,0.003,0.020,499.82,499.52,0.00,0.00,0.00,0.00,0.00,0.00,19.443732,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
0.6,-0.0019,0.0051,0.0008,0.0023,-0.0079,-0.0002,19.443720,-99.170004,2240.29,14.975,0.025,-0.056,499.18,499.83,0.00,0.00,0.00,0.00,0.00,0.00,19.443719,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
0.7,0.0074,-0.0056,-0.0022,-0.0039,0.0003,0.0013,19.443698,-99.169993,2240.38,15.019,0.009,-0.034,499.89,499.60,0.00,0.00,0.00,0.00,0.00,0.00,19.443705,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
0.8,0.0051,-0.0016,0.0026,0.0008,-0.0073,-0.0025,19.443691,-99.170002,2240.25,15.053,0.025,0.024,500.11,500.11,0.00,0.00,0.00,0.00,0.00,0.00,19.443692,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
0.9,0.0015,-0.0002,-0.0029,0.0011,-0.0029,0.0014,19.443679,-99.169994,2240.36,15.095,0.015,0.018,500.27,499.05,0.00,0.00,0.00,0.00,0.00,0.00,19.443678,-99.170000,2240.35,15.00,0.00,0.00,500.0,500.0
