Time,ax_barato,ay_barato,az_barato,wx_barato,wy_barato,wz_barato,Lat_barato,Lon_barato,Alt_barato,vN_barato,vE_barato,vU_barato,d_izq_barato,d_der_barato,ax_caro,ay_caro,az_caro,wx_caro,wy_caro,wz_caro,Lat_caro,Lon_caro,Alt_caro,vN_caro,vE_caro,vU_caro,d_izq_caro,d_der_caro
0.0,-0.0003,0.0011,-0.0032,0.0008,-0.0002,0.0003,19.4327,-99.1336,2241.56,14.966,-0.036,-0.02,501.61,501.61,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.01,0.0098,-0.0009,-0.0002,0.0044,-0.0024,-0.0005,19.4327,-99.1336,2239.96,14.961,-0.04,-0.089,499.26,497.58,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.02,0.002,-0.0037,0.0006,0.0041,-0.0012,0.0006,19.4327,-99.1336,2240.99,15.137,-0.024,-0.064,499.61,500.84,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.03,0.0039,0.0026,-0.0028,-0.0003,0.0029,-0.0011,19.4327,-99.1336,2243.64,15.068,0.025,-0.031,501.52,501.4,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.04,0.003,0.0029,0.0047,0.0006,0.0002,-0.0019,19.4327,-99.1336,2235.51,14.974,-0.013,-0.036,498.93,498.99,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.05,0.0039,0.0048,0.0048,-0.001,-0.0048,0.0039,19.4327,-99.1336,2242.66,14.956,-0.004,0.028,499.66,498.84,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.06,-0.001,0.0044,-0.0017,-0.0023,0.0021,-0.0006,19.4327,-99.1336,2241.3,14.95,0.013,0.015,501.67,500.51,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.07,0.0014,0.0018,0.0023,-0.0002,-0.0025,0.0026,19.4327,-99.1336,2242.51,14.951,0.005,0.013,499.11,499.84,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.08,0.0049,-0.0032,0.0051,0.0012,-0.0007,-0.0017,19.4327,-99.1336,2244.04,14.964,-0.07,-0.017,501.7,501.21,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.09,0.0002,0.0002,-0.0007,-0.0006,-0.0002,-0.0037,19.4327,-99.1336,2235.77,15.0,0.022,0.034,500.42,499.66,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
