Time,ax_barato,ay_barato,az_barato,wx_barato,wy_barato,wz_barato,Lat_barato,Lon_barato,Alt_barato,vN_barato,vE_barato,vU_barato,d_izq_barato,d_der_barato,ax_caro,ay_caro,az_caro,wx_caro,wy_caro,wz_caro,Lat_caro,Lon_caro,Alt_caro,vN_caro,vE_caro,vU_caro,d_izq_caro,d_der_caro
0.0,-0.0003,0.0011,-0.0032,0.0008,-0.0002,0.0003,19.3935,-99.182,2241.56,14.966,-0.036,-0.02,501.61,501.61,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.01,-0.0003,0.0011,-0.0032,0.0008,-0.0002,0.0003,19.3935,-99.18199200000001,2241.56,14.966,-0.036,-0.02,501.61,501.61,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.02,-0.0003,0.0011,-0.0032,0.0008,-0.0002,0.0003,19.3935,-99.181984,2241.56,14.966,-0.036,-0.02,501.61,501.61,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.03,-0.0003,0.0011,-0.0032,0.0008,-0.0002,0.0003,19.3935,-99.181976,2241.56,14.966,-0.036,-0.02,501.61,501.61,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.04,-0.0003,0.0011,-0.0032,0.0008,-0.0002,0.0003,19.3935,-99.181968,2241.56,14.966,-0.036,-0.02,501.61,501.61,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.05,-0.0003,0.0011,-0.0032,0.0008,-0.0002,0.0003,19.3935,-99.18196,2241.56,14.966,-0.036,-0.02,501.61,501.61,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.06,-0.0003,0.0011,-0.0032,0.0008,-0.0002,0.0003,19.3935,-99.181952,2241.56,14.966,-0.036,-0.02,501.61,501.61,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.07,-0.0003,0.0011,-0.0032,0.0008,-0.0002,0.0003,19.3935,-99.181944,2241.56,14.966,-0.036,-0.02,501.61,501.61,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.08,-0.0003,0.0011,-0.0032,0.0008,-0.0002,0.0003,19.3935,-99.18193600000001,2241.56,14.966,-0.036,-0.02,501.61,501.61,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
0.09,-0.0003,0.0011,-0.0032,0.0008,-0.0002,0.0003,19.3935,-99.181928,2241.56,14.966,-0.036,-0.02,501.61,501.61,0.0,0.0,0.0,0.0,0.0,0.0,19.4327,-99.1336,2240.35,15.0,0.0,0.0,500.0,500.0
