Time,ax_caro,ay_caro,az_caro,wx_caro,wy_caro,wz_caro,Lat_caro,Lon_caro,Alt_caro,vN_caro,vE_caro,vU_caro,d_izq_caro,d_der_caro
0.0,-0.0041438616,0.019433394,-0.0030193962,-0.0052267746,0.0123922555,-0.0006221981,19.442593,-99.172165,2240.3423,15.008946,0.003567444,0.01982858,499.84958,499.3418
0.1,-0.0030792526,0.016258493,-0.005385315,-0.0069664638,0.014303424,-0.00011944983,19.442421,-99.172646,2240.3394,15.006556,0.0045479904,0.021072723,500.03662,499.3219
0.2,-0.0052559343,0.020851351,-0.005758906,-0.0031482058,0.014893482,-0.000920452,19.441359,-99.17201,2240.3428,15.008852,0.003604735,0.019216936,499.75928,499.42636
0.3,-0.0028311724,0.020741597,-0.0048688184,-0.006288935,0.012752042,-0.00022245759,19.441792,-99.17237,2240.3386,15.006617,0.0038112598,0.021978293,499.89243,499.28113
0.4,-0.005859041,0.02275309,-0.0042924266,-0.0075591845,0.009043251,-0.0011790901,19.44184,-99.17219,2240.34,15.008563,0.004217015,0.02280489,499.92493,499.14838
0.5,-0.0018982239,0.021907829,-0.005377045,-0.004850292,0.011332407,8.11606e-05,19.44182,-99.17231,2240.3413,15.008282,0.0032201628,0.021190338,499.78418,499.33118
0.6,-0.005274838,0.0235243,-0.00716185,-0.003549122,0.01389397,-0.00097417075,19.441227,-99.1724,2240.3396,15.007171,0.0033313453,0.017842613,499.69913,499.35422
0.7,-0.00034534108,0.019155756,-0.0052713454,-0.00765253,0.012105475,0.0005696246,19.441826,-99.17225,2240.3384,15.007803,0.004521301,0.022990502,499.99042,499.25403
0.8,-0.0023966401,0.019699268,-0.005959127,-0.0051664966,0.015155307,-8.757939e-06,19.441828,-99.17236,2240.3406,15.006742,0.003225566,0.021209616,499.8696,499.36356
0.9,-0.0034416057,0.021605134,-0.004702529,-0.006679592,0.012819084,-0.00023155862,19.441582,-99.17229,2240.3406,15.007824,0.0043762308,0.02402062,499.92862,499.24878
1.0,-0.0051006265,0.021010801,-0.003976226,-0.005206496,0.012854659,-0.0011301218,19.441113,-99.172,2240.3362,15.007077,0.0043217037,0.017566789,499.8353,499.3029
1.1,-0.0049843322,0.020149462,-0.0034004264,-0.004768017,0.0132086305,-0.00095251354,19.441732,-99.17204,2240.34,15.007571,0.003911546,0.020951815,499.8294,499.3609
1.2,-0.0062742094,0.021551289,-0.003323909,-0.003874636,0.011195584,-0.0014967244,19.441296,-99.17189,2240.3381,15.009544,0.0052598487,0.017763417,499.73578,499.35248
1.3,-0.006302222,0.023558758,-0.004295565,-0.0061763735,0.010727129,-0.0012988903,19.441557,-99.17218,2240.339,15.007714,0.004201249,0.019180514,499.8475,499.20212
1.4,-0.004006418,0.015244222,-0.0036455058,-0.006315692,0.0138567565,-0.00037273264,19.442196,-99.17219,2240.3396,15.007643,0.00622608,0.019617777,500.05814,499.35867
1.5,-0.0042276373,0.021877855,-0.0043470636,-0.003564805,0.012658556,-0.0006542736,19.44203,-99.17225,2240.3406,15.008452,0.0041603064,0.01792889,499.7186,499.37384
1.6,-0.0034062155,0.019109897,-0.002780864,-0.0018152038,0.01259732,-0.0005802056,19.44191,-99.17181,2240.3413,15.0101,0.00482266,0.018329069,499.67783,499.52066
1.7,-0.0008500066,0.025553808,-0.006771311,-0.0040508704,0.012761458,0.0004696856,19.441813,-99.17254,2240.3418,15.0084715,0.0031830568,0.020506427,499.64282,499.30682
1.8,-0.0045931325,0.020773046,-0.003601024,-0.003116133,0.011077716,-0.0007095235,19.442606,-99.17217,2240.3445,15.010652,0.0038947884,0.019613054,499.71786,499.4082
1.9,-0.0060941954,0.017810695,-0.005883362,-0.0052027735,0.011849335,-0.001242942,19.44167,-99.17212,2240.3406,15.008966,0.0045861867,0.01851726,499.91162,499.36176
2.0,-0.0064531956,0.017094515,-0.0034539178,-0.0052540745,0.012874602,-0.00151753,19.44171,-99.171814,2240.34,15.008428,0.0042369585,0.019933052,499.92218,499.37616
2.1,-0.0049135187,0.017711408,-0.0050791427,-0.0029067856,0.013025218,-0.00088901975,19.442013,-99.17233,2240.342,15.008367,0.0034034862,0.018742573,499.77054,499.4925
2.2,-0.004626773,0.02063553,-0.005931964,-0.006305207,0.0136293275,-0.00065518246,19.441622,-99.17255,2240.339,15.0058155,0.003638668,0.021068245,499.92667,499.2756
2.3,-0.0009135522,0.022826046,-0.0051152986,-0.0051642717,0.013808458,0.0003847456,19.441545,-99.17221,2240.3406,15.007815,0.0031144803,0.020309474,499.78586,499.3043
2.4,-0.00087963045,0.019659184,-0.0043623373,-0.0070280065,0.011801108,0.00015855217,19.441187,-99.17199,2240.3367,15.00795,0.0042639794,0.022262432,499.926,499.26825
2.5,-0.0057897856,0.017743982,-0.002458373,-0.006483088,0.011712472,-0.0012461558,19.441801,-99.17196,2240.3381,15.007341,0.0051561384,0.021633714,499.98132,499.30115
2.6,-0.006102819,0.021660194,-0.0048948266,-0.0049719573,0.010129665,-0.0011505304,19.440699,-99.17255,2240.3406,15.00855,0.0043847915,0.02451564,499.8411,499.32074
2.7,-0.0057047973,0.01985237,-0.0041377973,-0.00198299,0.013287059,-0.0011503848,19.44141,-99.17195,2240.342,15.009309,0.003920791,0.01876909,499.69943,499.49597
2.8,-0.00092098454,0.019331247,-0.0036253873,-0.006080233,0.010907595,0.00021043594,19.441801,-99.17205,2240.34,15.008577,0.003680574,0.022536099,499.87808,499.32202
2.9,-0.0044300603,0.017144665,-0.0052298717,-0.006771648,0.012614797,-0.00073481206,19.441784,-99.17228,2240.3386,15.006892,0.004646908,0.021143306,500.00168,499.3134
3.0,-0.0039107315,0.021193884,-0.0045126546,-0.0053467643,0.010598424,-0.000616441,19.441904,-99.17228,2240.3413,15.008761,0.0032499891,0.020167552,499.81238,499.2978
3.1,-0.004862157,0.021575771,-0.0038043913,-0.008676888,0.012161515,-0.0010487926,19.440948,-99.17196,2240.335,15.005582,0.0046607903,0.01991712,500.01776,499.12943
3.2,-0.00394347,0.021715201,-0.004015209,-0.0062250723,0.0111314235,-0.00072897185,19.441227,-99.17188,2240.3389,15.008285,0.0034099203,0.019067544,499.872,499.24255
3.3,-0.0020188254,0.019931972,-0.0038209409,-0.0040577766,0.012496344,3.3291042e-05,19.44176,-99.17209,2240.3408,15.008858,0.004302243,0.019957926,499.79245,499.40042
3.4,-0.007425749,0.017972328,-0.002264928,-0.0016488263,0.013061783,-0.0017864858,19.441198,-99.171616,2240.342,15.010584,0.004954935,0.020301603,499.73175,499.53973
3.5,0.00022187772,0.017568924,-0.00492727,-0.0073915883,0.011429676,0.000725673,19.441368,-99.17223,2240.3381,15.007728,0.0044262633,0.023326524,500.015,499.3006
3.6,-0.003924547,0.022638947,-0.005541483,-0.0044206874,0.013991821,-0.00047647176,19.440893,-99.17228,2240.3408,15.007027,0.002866683,0.022535156,499.78397,499.34744
3.7,-0.0059734033,0.020735063,-0.0060444344,-0.0065498515,0.012580623,-0.0013219682,19.440634,-99.17209,2240.3367,15.006578,0.0044275913,0.01888258,499.93082,499.24792
3.8,-0.0029843007,0.016029656,-0.005496299,-0.005254313,0.0125806695,-0.0004023697,19.441444,-99.17206,2240.339,15.009003,0.0043909973,0.017042954,499.9259,499.40295
3.9,-0.0013356152,0.0190242,-0.0058060754,-0.006428135,0.01173759,0.00022563495,19.442259,-99.17237,2240.3418,15.00824,0.00293358,0.020499993,499.90695,499.3001
4.0,-0.0064373976,0.019231543,-0.0036379788,-0.0053474694,0.01186745,-0.0013241869,19.441507,-99.172035,2240.3396,15.008082,0.004948371,0.019273132,499.9072,499.3271
4.1,-0.0023978474,0.01617428,-0.0033084732,-0.0043568937,0.013163705,7.0637466e-06,19.442017,-99.17211,2240.343,15.009324,0.004416427,0.022895955,499.89664,499.46457
4.2,-0.0051882304,0.021807529,-0.0053334646,-0.006250003,0.010089957,-0.0010090411,19.441364,-99.1723,2240.3384,15.008226,0.0047883787,0.017068114,499.85767,499.22952
4.3,-0.005480904,0.022167094,-0.0051177833,-0.006372811,0.010235527,-0.0010444651,19.441366,-99.17234,2240.3394,15.0084715,0.004726808,0.021081664,499.8658,499.22647
4.4,6.400856e-05,0.020864397,-0.0036399886,-0.003922214,0.012223926,0.0006576669,19.441833,-99.17221,2240.341,15.008591,0.003682554,0.018454999,499.73972,499.39725
4.5,0.00017256943,0.019060358,-0.0047513433,-0.004850197,0.012169349,0.0006496828,19.441484,-99.17227,2240.3386,15.008166,0.0050544674,0.01752397,499.83777,499.382
4.6,-0.004948554,0.016771987,-0.00313765,-0.0030902142,0.012914461,-0.0009021309,19.442186,-99.17204,2240.3428,15.009654,0.004393019,0.019062914,499.79794,499.49774
4.7,-0.0039029312,0.016313724,-0.0029829796,-0.0062175295,0.01360272,-0.00071317004,19.441341,-99.171906,2240.3389,15.007851,0.0045309016,0.020533387,499.98535,499.35916
4.8,-0.005251183,0.021083154,-0.0035114419,-0.0031257293,0.01269425,-0.0010014968,19.441475,-99.17209,2240.3408,15.008488,0.0042105173,0.019927464,499.7268,499.41895
4.9,-0.001192816,0.020863816,-0.0050641038,-0.0073668216,0.0136156855,0.00040063,19.441402,-99.17251,2240.338,15.006272,0.0040509338,0.02152741,499.95853,499.22363
5.0,-0.0049224207,0.0196779,-0.0046291165,-0.0053578424,0.01329846,-0.0008139776,19.441408,-99.172356,2240.3398,15.006973,0.003892332,0.021676507,499.88492,499.33856
5.1,-0.0040147626,0.01749193,-0.0036153346,-0.007439383,0.011299717,-0.0005188957,19.441542,-99.17247,2240.3394,15.007705,0.0046715,0.02353711,500.02606,499.26764
5.2,-0.0024532708,0.021130055,-0.0056124087,-0.0021039646,0.0111411875,-0.000114808674,19.4415,-99.172554,2240.3435,15.008847,0.0031361128,0.018789608,499.634,499.47647
5.3,-0.0037853932,0.021710157,-0.006831594,-0.0037532381,0.013062659,-0.00027475378,19.441196,-99.17285,2240.3413,15.006775,0.0037464919,0.020079393,499.76385,499.38928
5.4,-0.0071759075,0.018266968,-0.0028039739,-0.004367949,0.011955782,-0.0015588255,19.441408,-99.17205,2240.3396,15.008361,0.005395516,0.018482968,499.87732,499.38495
5.5,-0.0073449034,0.019823559,-0.0035462286,-0.0051056757,0.0097643295,-0.0016215731,19.440903,-99.172455,2240.34,15.008277,0.0047070435,0.022614107,499.87354,499.33365
5.6,-0.0027148386,0.017102465,-0.00676053,-0.006906156,0.015305015,9.060424e-05,19.441778,-99.17265,2240.3408,15.0067625,0.0045278626,0.018874172,500.04376,499.31393
5.7,-0.0048940694,0.018881626,-0.004405724,-0.002418157,0.01379821,-0.00089890254,19.441338,-99.1721,2240.3408,15.00822,0.003593327,0.015476196,499.74344,499.48767
5.8,-0.0018697252,0.019235425,-0.005468376,-0.005187386,0.013376589,2.1821174e-06,19.440973,-99.17198,2240.3396,15.007847,0.0031139029,0.016438756,499.8826,499.35873
5.9,0.0014292885,0.02238676,-0.0047744364,-0.005346686,0.0140363565,0.0011287623,19.44126,-99.172356,2240.3389,15.0065155,0.0031220708,0.021040436,499.80316,499.3101
6.0,-0.002211981,0.024042346,-0.004801072,-0.0069379625,0.011933961,-0.0002227225,19.440588,-99.17203,2240.3367,15.006498,0.0031887065,0.019572284,499.85004,499.1841
6.1,-0.004440474,0.020889342,-0.0034685638,-0.0024863237,0.01053742,-0.0006841426,19.441969,-99.172035,2240.345,15.011319,0.0037006354,0.017781794,499.6803,499.43878
6.2,-0.0048395977,0.021126471,-0.0052795317,-0.003390135,0.011737187,-0.0008842976,19.440796,-99.17189,2240.343,15.010511,0.0034549902,0.020343479,499.74744,499.3977
6.3,-0.004294918,0.019870184,-0.0058184694,-0.010002042,0.012066788,-0.0007289834,19.44047,-99.17216,2240.336,15.005782,0.004298731,0.02375675,500.14566,499.10315
6.4,-0.008046336,0.020005539,-0.0023879204,-0.00468214,0.011072553,-0.0018562325,19.441105,-99.17237,2240.3416,15.008291,0.0032315976,0.021078326,499.84253,499.34842
6.5,-0.007883111,0.020819925,-0.0045158975,-0.004694725,0.012192274,-0.0017849724,19.44095,-99.17232,2240.3398,15.007154,0.0038311726,0.021505367,499.83878,499.33606
6.6,-0.0026279746,0.018199302,-0.0014619669,-0.004687472,0.009744014,-0.0004375214,19.44106,-99.17187,2240.3389,15.0091915,0.0043689436,0.020581055,499.83566,499.3976
6.7,-0.0034660557,0.019696645,-0.0023703314,-0.0060078227,0.011762806,-0.0006760243,19.441181,-99.1719,2240.3389,15.007549,0.0033066391,0.020550754,499.87378,499.30753
6.8,-0.0018033575,0.019898362,-0.0062661767,-0.0040764,0.014322589,0.00014869944,19.441545,-99.1724,2240.3416,15.006792,0.0025771447,0.019739516,499.79617,499.4126
6.9,-0.0049375524,0.020117,-0.0027717855,-0.0077375504,0.010016342,-0.0010463106,19.440693,-99.171906,2240.3389,15.007855,0.003744785,0.024627019,499.98953,499.2121
7.0,-0.004101092,0.0220702,-0.0053978153,-0.007844978,0.0101767825,-0.00070986856,19.440062,-99.1721,2240.3362,15.007087,0.004403368,0.021687225,499.97156,499.168
7.1,-0.0067972327,0.019061178,-0.0039445274,-0.008982222,0.010178217,-0.0014934533,19.440584,-99.172066,2240.3367,15.006986,0.0053903894,0.023686104,500.11032,499.15656
7.2,-0.0034646927,0.018044718,-0.003934849,-0.0042036003,0.010446486,-0.00058781565,19.441677,-99.172066,2240.342,15.009779,0.0034577695,0.018865112,499.80438,499.4133
7.3,-0.002587753,0.017773934,-0.005445473,-0.006316354,0.014239832,-0.00028340626,19.4401,-99.17207,2240.336,15.006449,0.0046022628,0.020087183,499.9854,499.335
7.4,-0.00473405,0.020145074,-0.0059243236,-0.0033798066,0.0128793875,-0.0006666569,19.441229,-99.17259,2240.3423,15.008009,0.0034601537,0.019561745,499.7698,499.4233
